6f8399cf-011b-46d3-8bec-5382704a7d3e,Food,85.5,2026-06-04,Grocery shopping
d85b162b-f849-48e5-9272-bf844ac956da,Transport,45.0,2026-06-03,Monthly bus pass
06ee5acf-c176-49ec-894b-7b066bec528e,Entertainment,120.0,2026-06-02,Concert tickets
0e866f55-2e7f-4b78-b6b3-6ea9e1b0dd2a,Food,32.75,2026-06-01,Restaurant lunch
567ee046-db75-4ca0-93f9-81f62bc97375,Utilities,95.0,2026-05-31,Electric bill
e6aeb6c2-35d8-4210-89b4-8ba7ae53a3a7,Health,60.0,2026-05-30,Gym membership
37c857c7-9268-47a5-a3a5-56996cd16334,Food,55.2,2026-05-26,Weekly groceries
3a5f0fbb-889b-4ac3-a5f5-a8844b34c5c9,Transport,25.0,2026-05-24,Uber rides
8da89b1f-4d37-4cab-992f-a974c4aa1dc0,Entertainment,15.99,2026-05-21,Streaming service
785a2611-227a-4fe9-a977-0b53b8147256,Utilities,78.0,2026-05-16,Internet bill
66738ee4-2419-4967-934b-5d4b21d2e93f,Health,45.0,2026-05-14,Pharmacy
370d70c9-bdea-4201-87e4-247ea18d8580,Food,110.0,2026-05-01,Grocery shopping
5be4df40-917e-4771-b810-79018b80efd8,Entertainment,200.0,2026-04-26,Weekend trip
6c944de1-33bf-4103-9d66-b8dee45446c8,Transport,60.0,2026-04-21,Fuel
ea81a944-e922-44c7-a796-f409d4f48e19,Utilities,110.0,2026-04-16,Gas bill
